'True Positive Rate','False Positive Rate',Threshold
1,1,0
1,0.998155,0
1,0.99631,0
1,0.994465,0
1,0.99262,0
1,0.990775,0
1,0.98893,0
1,0.987085,0
1,0.98524,0
1,0.983395,0
1,0.98155,0
1,0.979705,0
1,0.97786,0
1,0.976015,0
1,0.97417,0
1,0.972325,0
1,0.97048,0
1,0.968635,0
1,0.96679,0
1,0.964945,0
1,0.9631,0
1,0.961255,0
1,0.95941,0
1,0.957565,0
1,0.95203,0
1,0.946494,0
1,0.944649,0
1,0.942804,0
1,0.940959,0
1,0.939114,0
1,0.937269,0
1,0.935424,0
1,0.933579,0
1,0.931734,0
1,0.929889,0
1,0.928044,0
1,0.926199,0
1,0.920664,0
1,0.918819,0
1,0.916974,0
1,0.915129,0
1,0.913284,0
1,0.911439,0
1,0.909594,0
0.998941,0.909594,0
0.998941,0.907749,0
0.998941,0.905904,0
0.998941,0.902214,0
0.998941,0.900369,0
0.998941,0.898524,0
0.998941,0.896679,0
0.998941,0.894834,0
0.998941,0.892989,0
0.998941,0.891144,0
0.998941,0.889299,0
0.998941,0.887454,0
0.998941,0.885609,0
0.998941,0.881919,0
0.998941,0.880074,0
0.998941,0.878229,0
0.998941,0.876384,0
0.998941,0.874539,0
0.998941,0.872694,0
0.998941,0.870849,0
0.998941,0.869004,0
0.998941,0.867159,0
0.998941,0.865314,0
0.998941,0.863469,0
0.998941,0.861624,0
0.998941,0.857934,0
0.998941,0.856089,0
0.998941,0.854244,0
0.998941,0.852399,0
0.998941,0.850554,0
0.998941,0.846863,0
0.998941,0.845018,0
0.998941,0.843173,0
0.998941,0.841328,0
0.998941,0.839483,0
0.998941,0.837638,0
0.998941,0.835793,0
0.998941,0.833948,0
0.998941,0.832103,0
0.998941,0.830258,0
0.998941,0.828413,0
0.998941,0.826568,0
0.998941,0.822878,0
0.998941,0.821033,0
0.998941,0.819188,0
0.998941,0.817343,0
0.998941,0.815498,0
0.998941,0.813653,0
0.998941,0.811808,0
0.998941,0.809963,0
0.998941,0.808118,0
0.998941,0.806273,0
0.998941,0.804428,0
0.998941,0.802583,0
0.998941,0.800738,0
0.998941,0.797048,0
0.998941,0.793358,0
0.998941,0.791513,0
0.998941,0.789668,0
0.998941,0.787823,0
0.998941,0.785978,0
0.998941,0.784133,0
0.998941,0.782288,0
0.998941,0.780443,0
0.998941,0.778598,0
0.998941,0.776753,0
0.998941,0.774908,0
0.998941,0.773063,0
0.998941,0.771218,0
0.998941,0.769373,0
0.998941,0.767528,0
0.998941,0.765683,0
0.998941,0.763838,0
0.998941,0.761993,0
0.998941,0.760148,0
0.998941,0.758303,0
0.998941,0.756458,0
0.998941,0.754613,0
0.998941,0.752768,0
0.998941,0.750923,0
0.998941,0.749077,0
0.998941,0.747232,0
0.998941,0.745387,0
0.998941,0.741697,0
0.998941,0.739852,0
0.998941,0.738007,0
0.998941,0.736162,0
0.998941,0.734317,0
0.998941,0.732472,0
0.998941,0.730627,0
0.998941,0.728782,0
0.998941,0.725092,0
0.998941,0.723247,0
0.998941,0.721402,0
0.998941,0.719557,0
0.998941,0.717712,0
0.998941,0.715867,0
0.998941,0.714022,0
0.998941,0.712177,0
0.998941,0.710332,0
0.998941,0.708487,0
0.998941,0.706642,0
0.998941,0.704797,0
0.998941,0.702952,0
0.998941,0.699262,0
0.998941,0.697417,0
0.998941,0.695572,0
0.998941,0.693727,0
0.998941,0.691882,0
0.998941,0.690037,0
0.998941,0.688192,0
0.998941,0.686347,0
0.998941,0.684502,0
0.998941,0.682657,0
0.998941,0.680812,0
0.998941,0.678967,0
0.998941,0.677122,0
0.998941,0.675277,0
0.998941,0.673432,0
0.998941,0.671587,0
0.998941,0.669742,0
0.998941,0.667897,0
0.998941,0.666052,0
0.998941,0.664207,0
0.998941,0.662362,0
0.998941,0.660517,0
0.998941,0.658672,0
0.998941,0.656827,0
0.998941,0.654982,0
0.998941,0.653137,0
0.998941,0.651292,0
0.998941,0.649446,0
0.998941,0.647601,0
0.998941,0.645756,0
0.998941,0.643911,0
0.998941,0.642066,0
0.998941,0.640221,0
0.998941,0.638376,0
0.998941,0.636531,0
0.998941,0.634686,0
0.998941,0.632841,0
0.998941,0.630996,0
0.998941,0.629151,0
0.998941,0.627306,0
0.998941,0.625461,0
0.998941,0.623616,0
0.998941,0.621771,0
0.998941,0.619926,0
0.998941,0.618081,0
0.998941,0.616236,0
0.998941,0.614391,0
0.998941,0.612546,0
0.998941,0.610701,0
0.998941,0.608856,0
0.998941,0.607011,0
0.998941,0.605166,0
0.998941,0.603321,0
0.998941,0.601476,0
0.998941,0.599631,0
0.998941,0.597786,0
0.998941,0.595941,0
0.998941,0.592251,0
0.998941,0.590406,0
0.998941,0.588561,0
0.998941,0.586716,0
0.998941,0.584871,0
0.998941,0.583026,0
0.998941,0.581181,0
0.998941,0.579336,0
0.998941,0.577491,0
0.998941,0.575646,0
0.998941,0.573801,0
0.998941,0.571956,0
0.998941,0.570111,0
0.998941,0.566421,0
0.998941,0.564576,0
0.998941,0.560886,0
0.998941,0.559041,0
0.998941,0.557196,0
0.998941,0.555351,0
0.998941,0.553506,0
0.998941,0.549815,0
0.998941,0.546125,0
0.998941,0.54428,0
0.998941,0.542435,0
0.998941,0.54059,0
0.998941,0.538745,0
0.998941,0.535055,0
0.998941,0.53321,0
0.998941,0.531365,0
0.998941,0.527675,0
0.998941,0.52583,0
0.998941,0.523985,0
0.998941,0.52214,0
0.998941,0.520295,0
0.998941,0.51845,0
0.998941,0.516605,0
0.998941,0.51476,0
0.998941,0.512915,0
0.998941,0.51107,0
0.998941,0.509225,0
0.998941,0.50738,0
0.998941,0.505535,0
0.998941,0.50369,0
0.998941,0.5,0
0.998941,0.498155,0
0.998941,0.49631,0
0.998941,0.494465,0
0.998941,0.49262,0
0.998941,0.490775,0
0.998941,0.48893,0
0.998941,0.48524,0
0.998941,0.483395,0
0.998941,0.48155,0
0.998941,0.476015,0
0.998941,0.47417,0
0.998941,0.472325,0
